Q-type	d	M	nbits	T-num	V-num	k	recall	recall0
PQ	8	4	8	10000	20000	10	0.86547	0.87513
PQ	16	4	8	10000	20000	10	0.60854	0.64512
PQ	32	4	8	10000	20000	10	0.31744	0.38217
PQ	64	4	8	10000	20000	10	0.12971	0.21617
OPQ	8	4	8	10000	20000	10	0.83331	0.84537
OPQ	16	4	8	10000	20000	10	0.55368	0.59072
OPQ	32	4	8	10000	20000	10	0.26994	0.34486
OPQ	64	4	8	10000	20000	10	0.12136	0.21045
RQ	8	4	8	10000	20000	10	0.84813	0.86017
RQ	16	4	8	10000	20000	10	0.57752	0.61605
RQ	32	4	8	10000	20000	10	0.30307	0.37099
RQ	64	4	8	10000	20000	10	0.14806	0.23921
LSQ	8	4	8	10000	20000	10	0.66441	0.69148
LSQ	16	4	8	10000	20000	10	0.49883	0.54268
LSQ	32	4	8	10000	20000	10	0.29608	0.36553
LSQ	64	4	8	10000	20000	10	0.16390	0.24890
